,t,y,x
0,20967,-41.71421779374552,-67.64927093982358
1,21968,-41.668097161603534,-67.73098493758533
2,22168,-41.82121765817564,-67.61997724236394
3,22368,-41.69761436582834,-67.70631656174588
4,22568,-41.745579822595346,-67.71248365636303
5,22768,-41.7787866776432,-67.62306079098711
6,22969,-41.73451087091273,-67.70785833211367
7,23169,-41.76402807592404,-67.71556719972783
8,23369,-41.71052814292248,-67.7032330131227
9,23569,-41.745579822595346,-67.75256976743081
10,23769,-41.712372967547495,-67.76336218103896
11,23970,-41.629355831894124,-67.8497014977917
12,24170,-41.81752800813911,-67.74177735119349
13,24370,-41.66994198780154,-67.7386938051995
14,24570,-41.65702821070741,-67.86820278164319
15,24770,-41.79539010477387,-67.70631656174588
16,24971,-41.64964890984784,-67.72790139159135
17,25171,-41.65702821070741,-67.73406848357932
18,25371,-41.61644205479999,-67.54288856622236
19,25571,-41.47808015994703,-67.51976196337989
20,25771,-41.395063023507156,-67.4056707247937
21,25972,-41.20504602185065,-67.2191161264277
22,26172,-41.221649448981324,-66.99864251161111
23,26372,-40.94677048547343,-66.77508535080052
24,26572,-40.6977190761538,-66.69028780704478
25,26772,-40.68111564902312,-66.33413812116731
26,26973,-40.34166780083104,-66.0581606626838
27,27173,-40.12213359494973,-65.87623138593798
28,27373,-40.01513372973311,-65.42294996707045
29,27573,-39.61480664925288,-65.16084846818907
30,27773,-39.410031044304226,-64.84478489600858
31,27974,-39.10379005194649,-64.43004781521184
32,28174,-38.81784213675597,-64.08623232119788
33,28374,-38.53004939694044,-63.671495243030336
34,28574,-38.19244637415988,-63.24288220000226
35,28774,-37.96553286741899,-62.771099499912424
36,28975,-37.48403347512391,-62.32090163229726
37,29175,-37.151964928577904,-61.96475194904898
38,29375,-36.89922386764874,-61.377336234746764
39,29575,-36.42510377621325,-60.89938644003976
40,29775,-36.0506042483483,-60.46768985101772
41,29976,-35.748052906027105,-59.846355120264874
42,30176,-35.23334665868418,-59.41003321225185
43,30376,-34.26481339864596,-57.806588745877725
44,30576,-33.86817596741579,-57.25155027765833
45,30776,-33.44202133274729,-56.76589161533716
46,30977,-32.97528054217137,-56.24014684457741
47,31177,-32.45503981938038,-55.78532365271288
48,31377,-32.13035057369396,-55.12081926226908
49,31577,-31.672833909389134,-54.63978592156809
50,31777,-31.1858000408595,-54.39464393091202
51,31978,-30.95150723325903,-53.797977578627844
52,32178,-30.46078371469285,-53.46341272259586
53,32378,-30.091818663062462,-52.09431782801129
54,32578,-29.828008650450684,-51.543904681412066
55,32778,-29.486715977633583,-51.27409431228733
56,32979,-29.169406032806737,-50.87631674234509
57,33179,-28.936958050617786,-50.67588618437697
58,33379,-28.65101013542727,-50.42457710173292
59,33579,-28.398269074498106,-50.14551608936785
60,33779,-28.224855500758775,-49.94046021240876
61,33980,-28.069890178775143,-49.64443969444757
62,34180,-27.822683594080534,-49.50105475577254
63,34380,-27.671407922133444,-49.47176106094209
64,34580,-27.64927001955471,-49.25128744612549
65,34780,-27.518287426347825,-49.14336329689808
66,34981,-27.468477144169302,-48.93984919293598
67,35181,-27.390994483963983,-48.83038327334077
68,35381,-27.283994618747354,-48.86892761404075
69,35581,-27.248942938287986,-48.79646425426096
70,35781,-27.221270559474696,-48.79492248126397
71,35982,-27.317201473008705,-47.66017716635652
72,36983,-27.444494416179047,-49.28829001119929
73,37183,-27.569942533151373,-49.29445710318726
74,37383,-27.477701271226895,-49.336084989881236
75,37583,-27.474011620403857,-49.33145967089025
76,37783,-27.466632318757785,-49.33454321688424
77,37984,-27.488770222123012,-49.35612804672972
78,38184,-27.429735813673396,-49.25591276774566
79,38384,-27.437115115319468,-49.32991789526407
80,38584,-27.553339106020697,-49.266705183983
81,38784,-27.426046162850355,-49.28366468957912
82,38986,-27.389149657765966,-49.41163189302582
83,39186,-27.542270155124577,-49.279039370588144
84,39386,-27.426046162850355,-49.340710311501404
85,39586,-27.474011620403857,-49.39313060917433
86,39786,-27.45740819327318,-49.33300144388724
87,39987,-27.450028891627106,-49.38542174156017
88,40187,-27.44080476535601,-49.36383691434388
89,40387,-27.433425463709934,-49.376171100949016
90,40587,-27.453718542450147,-49.4347584958683
91,40787,-27.429735813673396,-49.366920460337866
92,40988,-27.426046162850355,-49.44709268510263
93,41188,-27.5348908534785,-49.376171100949016
94,41388,-27.40944273571968,-49.39621415779751
95,41588,-27.387304833140945,-49.51955603962404
96,41788,-27.53673567889002,-49.35612804672972
97,41989,-27.405753085683138,-49.3992977037915
98,42189,-27.474011620403857,-49.41934076063998
99,42389,-27.46478749413276,-49.410090120028826
100,42589,-27.44264959076753,-49.42859140125113
101,42789,-27.459253017898206,-49.41163189302582
102,42990,-27.453718542450147,-49.44555090947644
103,43190,-27.488770222123012,-49.44709268510263
104,43390,-27.429735813673396,-49.394672384800515
105,43590,-27.475856445028878,-49.4532597770906
106,43790,-27.5348908534785,-49.36846223333486
107,43991,-27.306132522112588,-49.35612804672972
108,44191,-27.258167064559085,-49.38387996856318
109,44391,-27.36516692977571,-49.16648990236975
110,44591,-27.123494820529167,-49.14027975353329
111,44791,-27.012805305276,-49.095568318216145
112,44992,-26.850460683219282,-48.86738583841457
113,45192,-26.641995428234086,-48.71012494013742
114,45392,-26.415081921493194,-48.57290709345037
115,45592,-26.15311673507943,-48.31543091355997
116,45792,-25.92435840214052,-48.08570666076141
117,45993,-22.893310502694057,-49.188074732215235
118,46393,-23.49103388569036,-47.30711102910223
119,46593,-23.00584484335874,-46.889290402311495
120,46793,-22.544638528230884,-46.736654823025326
121,46994,-22.155380398646777,-46.28028986079299
122,47194,-21.684949958034316,-45.90563889369322
123,47394,-21.225588467531473,-45.56028162405309
124,47594,-20.797589008237956,-45.16250405411085
125,49396,-17.79605831144331,-39.1002505476133
126,49596,-17.532248300404525,-38.28619412387732
127,49796,-17.235231433531396,-37.50605671922115
128,49997,-16.98064554719071,-36.85542829100867
129,50197,-16.691007981963658,-36.234093560255836
130,50397,-16.569249514241378,-35.375325703831905
131,50597,-16.4770082523169,-34.68769471054563
132,50797,-16.40690489218466,-33.98772953065422
133,50998,-16.456715174363186,-33.118169263251325
134,51198,-16.27223264815474,-32.683389128235284
135,51398,-16.342336008286978,-31.900168177585122
136,51598,-16.4770082523169,-31.05990160238349
137,51798,-16.366318736277233,-30.534156831623733
138,51999,-16.60614602011226,-29.729351051128095
139,52199,-16.67993903028104,-29.040178284844828
140,52399,-16.78324924467463,-28.352547291558555
141,52599,-16.98802484805029,-27.60941245197618
142,52799,-17.15590394712806,-27.157672806105637
143,53000,-17.408645008057224,-26.329740422767525
144,53200,-17.60050683433875,-25.648276526727606
145,53400,-17.85509272067943,-25.045443074567885
146,53600,-18.190850917261976,-24.251429710309583
147,53800,-18.268333578253788,-23.856735688990515
148,54001,-18.515540162948398,-23.241568050225656
149,54201,-18.89741899167292,-22.379716647807733
150,54401,-19.04131536197394,-21.934144099183545
151,54601,-19.393676986473654,-21.343644838887343
152,54801,-19.62612496866261,-20.74081138935681
153,55002,-19.832745398236284,-20.187314694134407
154,55202,-20.137141565968992,-19.584481247233068
155,55402,-20.367744723532923,-19.225248012732425
156,55602,-20.70534774474049,-18.425067551227766
157,55802,-20.90643369807961,-17.90548987245598
158,56003,-21.20714021577578,-17.421372988390193
159,56203,-21.43958819796473,-16.750701503329232
160,56403,-21.507846733471947,-16.328255557547518
161,56603,-21.675725831763216,-15.921227346994124
162,56803,-21.99857025203812,-15.059375944576198
163,63011,-31.91266119322416,-21.60266279177474
164,63211,-32.02888518392539,-22.257916541607383
165,63411,-32.4753328973341,-22.7543676149075
166,63611,-32.515919052455025,-23.44199860819377
167,69817,-37.699878030182184,-43.95529538205279
168,70018,-37.92310188610004,-44.27135895686247
169,70218,-38.22011875375967,-44.7107644082403
170,70418,-38.38061855040487,-45.262719333094914
171,70618,-38.768031855363944,-45.5772411322784
172,70818,-39.00047983755291,-46.15232265734628
173,71019,-39.334393209510424,-46.63643954404127
174,71219,-39.64985832892575,-46.929376516008475
175,71419,-39.780840922132626,-47.627799920273695
176,71619,-40.17563352795129,-47.829772253868
177,71819,-40.60363298803131,-48.13350163944335
178,72020,-40.73461558123819,-48.731709767353706
179,72220,-41.13494266171841,-48.92134791171368
180,72420,-41.52420079130251,-49.371545781958034
181,72620,-41.87471759117721,-49.709194183984
182,72820,-42.17357928267536,-49.854120895656024
183,73021,-42.52963055799812,-50.27039974682057
184,73221,-42.9742334452088,-50.29044280366906
185,79028,-52.8182210270491,-54.73229233556718
186,79228,-53.03960005755544,-55.06839896196696
187,79428,-53.37166860410144,-55.213325673638984
188,79628,-53.639168267536256,-55.32433336623118
189,79828,-53.949098909930534,-55.53709811606282
190,80029,-54.25533990307476,-55.63577162204988
191,80229,-54.4582706818254,-55.985754210680994
192,80429,-54.865977063165204,-56.027382094745775
193,80629,-55.065218191879296,-56.43286853230217
194,80829,-55.32718337829306,-56.82602078325344
